,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game
Rk,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST
14,Shaq Buchanan\buchash01,Dec 26 '21 MEM @ SAC,25,1,2,10,1,4,0,2,0,0,1,2,2,1,0,2,1,2,.250,.000,,5.0,1.0,1.0,1.0
15,Jared Butler\butleja02,Oct 20 '21 UTA vs. OKC,21,1,42,360,61,151,28,88,11,16,5,45,63,17,8,33,47,161,.404,.318,.688,8.6,3.8,1.1,1.5
16,Ahmad Caver\caverah01,Jan 5 '22 IND vs. BRK,25,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1.000,,,1.0,2.0,0.0,0.0
17,Justin Champagnie\champju01,Oct 22 '21 TOR @ BOS,20,1,36,281,31,67,10,28,9,9,37,72,11,8,4,8,32,81,.463,.357,1.000,7.8,2.3,2.0,0.3
18,Josh Christopher\chrisjo01,Oct 20 '21 HOU @ MIN,20,1,74,1334,224,500,56,189,83,113,52,186,150,65,13,114,97,587,.448,.296,.735,18.0,7.9,2.5,2.0
19,Sharife Cooper\coopesh01,Oct 21 '21 ATL vs. DAL,20,1,13,39,3,14,1,6,0,0,0,5,5,0,0,5,1,7,.214,.167,,3.0,0.5,0.4,0.4
20,Petr Cornelie\cornepe01,Oct 25 '21 DEN vs. CLE,26,1,13,38,5,15,1,8,3,4,7,14,3,1,1,4,7,14,.333,.125,.750,2.9,1.1,1.1,0.2
21,Jarron Cumberland\cumbeja01,Dec 27 '21 POR vs. DAL,24,1,3,12,1,2,0,1,0,0,1,3,1,0,0,0,2,2,.500,.000,,4.0,0.7,1.0,0.3
22,Cade Cunningham\cunnica01,Oct 30 '21 DET vs. ORL,20,1,64,2088,429,1031,114,363,142,168,58,354,356,78,43,234,200,1114,.416,.314,.845,32.6,17.4,5.5,5.6
23,Javin DeLaurier\delauja01,Jan 1 '22 MIL vs. NOP,23,1,1,3,0,0,0,0,0,0,0,1,0,1,0,0,1,0,,,,3.0,0.0,1.0,0.0
24,Ayo Dosunmu\dosunay01,Oct 20 '21 CHI @ DET,22,1,77,2110,278,535,70,186,53,78,27,214,256,60,29,108,182,679,.520,.376,.679,27.4,8.8,2.8,3.3
25,Jeff Dowtin\dowtije01,Nov 3 '21 GSW vs. CHO,24,1,9,108,8,26,1,9,2,2,8,18,10,5,1,5,5,19,.308,.111,1.000,12.0,2.1,2.0,1.1
26,Chris Duarte\duartch01,Oct 20 '21 IND @ CHO,24,1,55,1541,268,621,94,255,90,112,41,226,114,56,10,90,95,720,.432,.369,.804,28.0,13.1,4.1,2.1
27,David Duke Jr.\dukeda01,Dec 8 '21 BRK @ HOU,22,1,22,341,39,108,9,37,17,21,30,67,17,14,7,9,36,104,.361,.243,.810,15.5,4.7,3.0,0.8
28,Jaime Echenique\echenja01,Dec 30 '21 WAS vs. CLE,24,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,3.0,0.0,0.0,0.0
29,Kessler Edwards\edwarke02,Nov 16 '21 BRK vs. GSW,21,1,48,987,110,267,48,136,16,19,44,172,31,29,24,42,85,284,.412,.353,.842,20.6,5.9,3.6,0.6
30,Rob Edwards\edwarro01,Dec 29 '21 OKC @ PHO,25,1,2,11,1,4,1,4,0,0,0,3,0,0,0,1,0,3,.250,.250,,5.5,1.5,1.5,0.0
31,Aleem Ford\fordal03,Dec 17 '21 ORL vs. MIA,24,1,5,74,6,20,2,15,0,0,2,15,2,1,0,4,7,14,.300,.133,,14.8,2.8,3.0,0.4
